chunk_id,source_file,doc_group,doc_type,chunk_type,section,question,page_start,page_end,char_count,content_preview
c652cf1e7b114713a4b5bddf7079f639,..\data\考务问答\考试前遗失了身份证怎么办.pdf,exam_affairs_qa,other_policy,table_summary,,,1,1,123,表头列：首页 招考公告 政策法规、常见问题、相关下载 公告公示 个人中心  表格结构： | 首页 招考公告 政策法规 | 常见问题 | 相关下载 公告公示 个人中心 | | --- | --- | --- | |  | None | None |
4adc8e8ab7ff48b4a22b7eab161c581c,..\data\考务问答\考试前遗失了身份证怎么办.pdf,exam_affairs_qa,other_policy,table_row,,,1,1,43,首页 招考公告 政策法规：；常见问题：None；相关下载 公告公示 个人中心：None
f535a674119b4e7a94d429741bb52398,..\data\考务问答\考试前遗失了身份证怎么办.pdf,exam_affairs_qa,other_policy,table_summary,,,1,1,117,表头列：None、咨 询 电 话  表格结构： | None | 咨 询 电 话 | | --- | --- | |  |  | | << 版权所有：国家公务员局 网站所有：国家公务员局 京ICP备09079694号-6 | << |
4e64e735835d43baa08af050e8b461f3,..\data\考务问答\考试前遗失了身份证怎么办.pdf,exam_affairs_qa,other_policy,table_row,,,1,1,14,None：；咨 询 电 话：
13c8b4a11e664c1da64129d9ee5e37bd,..\data\考务问答\考试前遗失了身份证怎么办.pdf,exam_affairs_qa,other_policy,table_row,,,1,1,59,None：<< 版权所有：国家公务员局 网站所有：国家公务员局 京ICP备09079694号-6；咨 询 电 话：<<
