chunk_id,source_file,doc_group,doc_type,chunk_type,section,question,page_start,page_end,char_count,content_preview
887ea94c804e4dadaab42b12f1cbc42a,E:\GwyPilot\GwyPilot\data\考务问答\如何查询笔试成绩.pdf,exam_affairs_qa,score_query,table_summary,,,1,1,123,表头列：首页 招考公告 政策法规、常见问题、相关下载 公告公示 个人中心  表格结构： | 首页 招考公告 政策法规 | 常见问题 | 相关下载 公告公示 个人中心 | | --- | --- | --- | |  | None | None |
325a651f006c4bd5b0f42deea378f426,E:\GwyPilot\GwyPilot\data\考务问答\如何查询笔试成绩.pdf,exam_affairs_qa,score_query,table_summary,,,1,1,117,表头列：None、咨 询 电 话  表格结构： | None | 咨 询 电 话 | | --- | --- | |  |  | | << 版权所有：国家公务员局 网站所有：国家公务员局 京ICP备09079694号-6 | << |
