chunk_id,source_file,doc_group,doc_type,chunk_type,section,question,page_start,page_end,char_count,content_preview
a313c7820cb24b078a6e9550fbaf7152,..\data\公务员录用体检特殊标准.pdf,policy_qa,physical_exam_and_inspection,policy_section,,,1,1,753,2026年05月27日  星期三  下午好！ 国家公务员局中央机关及其直属机构2026年度考试录用公务员专题首页 > 政策法规公务员录用体检特殊标准（试行）发布日期：2025-10-14本标准适用于报考对身体条件有特殊要求职位公务员的考生。报考对身体条件有特殊要求职位公务员的考生，其身体条件应当符合《公务员录用体检通用标准（试行）》和本标准有关职位对身体条件的要求。 第一部分  人民警察职位第一条  单侧裸眼视力低于4.8，不合格（国家安全机关专业技术职位除外）。法医、...
6f0843b31084440cb3b0958d3091e619,..\data\公务员录用体检特殊标准.pdf,policy_qa,physical_exam_and_inspection,policy_section,,,2,2,655,第十一条  色弱，口岸现场旅客检查职位、海关货物查验职位、测绘及地图印刷方面职位、医学检验职位、纺织品检验监管职位、仪器检验监管职位、化妆品检验监管职位及动植物检疫职位，不合格；色盲（单色识别能力正常者除外），外交部门职位、机电检验监管职位、化工产品检验监管职位、化矿产品检验监管职位、煤矿安全监察执法职位及登轮检疫鉴定职位，不合格。 第十二条  肢体功能障碍，煤矿安全监察执法职位、登轮检疫鉴定职位、现场查验职位及海关货物查验职位，不合格。 第十三条  双侧耳语听力均低于...
d3242ae8096a470d8ec6a221072df6f1,..\data\公务员录用体检特殊标准.pdf,policy_qa,physical_exam_and_inspection,table_summary,,,1,1,123,表头列：首页 招考公告、政策法规、常见问题 相关下载 公告公示 个人中心  表格结构： | 首页 招考公告 | 政策法规 | 常见问题 相关下载 公告公示 个人中心 | | --- | --- | --- | |  | None | None |
2009f515607f4223bff110f2eba2a5ff,..\data\公务员录用体检特殊标准.pdf,policy_qa,physical_exam_and_inspection,table_row,,,1,1,43,首页 招考公告：；政策法规：None；常见问题 相关下载 公告公示 个人中心：None
