chunk_id,source_file,doc_group,doc_type,chunk_type,section,question,page_start,page_end,char_count,content_preview
a9213f91c328416e8aac58e68c1c6470,E:\GwyPilot\GwyPilot\data\合格分数线.pdf,policy_qa,other_policy,policy_section,,,1,1,895,中央机关及其直属机构2026年度考试录用公务员笔试成绩和合格分数线公布发布日期：2026-01-15中央机关及其直属机构2026年度考试录用公务员笔试成绩和合格分数线公布，考生可于即日起登录“ 中央机关及其直属机构2026 年度考试录用公务员专题网站”（http://bm.scs.gov.cn/kl2026）查询。 今年划定笔试合格分数线时，统筹考虑了新录用公务员必须具备的基本素质，不同类别、不同层级机关招考职位对公务员素质能力的要求，对西部地区和艰苦边远地区基层职位予...
7dcef4b5d1384e87b0bcaf8b9df2134d,E:\GwyPilot\GwyPilot\data\合格分数线.pdf,policy_qa,other_policy,table_summary,,,1,1,123,表头列：首页、招考公告、政策法规 常见问题 相关下载 公告公示 个人中心  表格结构： | 首页 | 招考公告 | 政策法规 常见问题 相关下载 公告公示 个人中心 | | --- | --- | --- | |  | None | None |
0202a91734e64e0099b0b4da6f2d9611,E:\GwyPilot\GwyPilot\data\合格分数线.pdf,policy_qa,other_policy,table_summary,,,2,2,98,表头列：None、None、None  表格结构： | None | None | None | | --- | --- | --- | |  | None | None | |  |  |  |
