chunk_id,source_file,doc_group,doc_type,chunk_type,section,question,page_start,page_end,char_count,content_preview
e5a332bec5cd4fde96c85799e9cbda98,E:\GwyPilot\GwyPilot\data\考务咨询电话.pdf,exam_affairs_qa,other_policy,semantic_text,,,1,1,665,重要通知中央机关及其直属机构2026年度考试录用公务员 报名确认及准考证打印 发布日期：2025-10-31考务 －87901866、84237602、84237802咨询时间：2025年10月27日至11月30日，工作日8:30－17:00 报名确认及准考证打印技术 －87901966、0531－66680723、0531－66680726咨询时间：2025年10月31日至11月6日，每日8:00－20:00； 11月23日至11月30日，每日8:00－20:00 各...
1578c7aa84914884b0966390d3b6970c,E:\GwyPilot\GwyPilot\data\考务咨询电话.pdf,exam_affairs_qa,other_policy,semantic_text,,,2,2,534,江苏省人事考试中心025-83236085南京市中山北路49号机械大厦28楼浙江省社会保险和就业服务中心人事考试院0571-88396764、88396765浙江省杭州市上城区佑圣观路74-1号安徽省人事考试院0551-63457903合肥市徽州大道与太湖路交口恒生阳光城8号写字楼4楼福建省人事考试中心0591-87670230福建省福州市鼓楼区东大路36号人才大厦13楼江西省人事考试中心0791-12333南昌市青山湖区江大南路19号山东省人事考试中心0531-889...
7d71a680bd7a4931918d09529af5eed3,E:\GwyPilot\GwyPilot\data\考务咨询电话.pdf,exam_affairs_qa,other_policy,semantic_text,,,2,2,481,网上报名技术咨询： 023-86868837重庆市渝北区春华大道99号人力资源产业园北区2号楼四川省人事考试中心028-86623723、86626583四川省成都市青羊区东二巷18号贵州省人力资源和社会保障厅考试院0851-12333转01（省本级）再转0（人工服务）贵阳市云岩区毓秀路25号省人才市场10-12楼云南省人事考试院0871-63630349、63632444云南省昆明市五华区人民中路170号云南人才市场3楼西藏自治区人事考试中心0891-6328229、...
