chunk_id,source_file,doc_group,doc_type,chunk_type,section,question,page_start,page_end,char_count,content_preview
659494f49e99401aa1d1af297e70b4e4,..\data\合格分数线.pdf,policy_qa,other_policy,policy_section,,,1,1,1057,2026年05月27日  星期三  下午好！ 国家公务员局中央机关及其直属机构2026年度考试录用公务员专题首页 > 招考公告 > 招考公告中央机关及其直属机构2026年度考试录用公务员笔试成绩和合格分数线公布发布日期：2026-01-15中央机关及其直属机构2026年度考试录用公务员笔试成绩和合格分数线公布，考生可于即日起登录“ 中央机关及其直属机构2026 年度考试录用公务员专题网站”（http://bm.scs.gov.cn/kl2026）查询。 今年划定笔试合格...
badc71a0f6494474b7fb2986e99e5f6d,..\data\合格分数线.pdf,policy_qa,other_policy,semantic_text,,,2,2,10,返回顶部咨询电话<<
71b93213a4754b9a8b722af9af9867c4,..\data\合格分数线.pdf,policy_qa,other_policy,table_summary,,,1,1,123,表头列：首页、招考公告、政策法规 常见问题 相关下载 公告公示 个人中心  表格结构： | 首页 | 招考公告 | 政策法规 常见问题 相关下载 公告公示 个人中心 | | --- | --- | --- | |  | None | None |
7770396303534ad1b368808056601c4d,..\data\合格分数线.pdf,policy_qa,other_policy,table_row,,,1,1,43,首页：；招考公告：None；政策法规 常见问题 相关下载 公告公示 个人中心：None
0830cfdaa8bb43a5b152dc6f2275322e,..\data\合格分数线.pdf,policy_qa,other_policy,table_summary,,,2,2,98,表头列：None、None、None  表格结构： | None | None | None | | --- | --- | --- | |  | None | None | |  |  |  |
2692494cf12c4315be9fc27d87d1dad4,..\data\合格分数线.pdf,policy_qa,other_policy,table_row,,,2,2,25,None：；None：None；None：None
59b7607f3d4a4eec90006264802bfa72,..\data\合格分数线.pdf,policy_qa,other_policy,table_row,,,2,2,17,None：；None：；None：
